,Star_name,Distance,Mass,Radius
125,TWA 29,262.0,2.00,25.0
126,SDSSp J125453.90-012247.4Â [de],38.0,47,0.98
127,Kelu-1A,61.0,63,0.98
128,Kelu-1B,61.0,58,0.98
129,2MASS J13204427+0409045,101.0,67,1.01
130,SDSSp J132629.82-003831.5Â [de],65.0,51,0.97
131,SDSSp J134646.45-003150.4Â [de],48.0,44,0.94
132,2MASS J13595510-4034582,51.0,63,1.0
133,ULAS J141623.94+134836.3,29.7,32,0.96
134,SDSS J141659.78+500626.4Â [de],149.0,59,0.99
135,DENIS-P J142527.97-365023.4Â [de],38.0,21,1.32
136,LHS 2924,38.5,76,1.06
137,2MASS J14392837+1929150,47.0,72,1.03
138,LSPM J1440+1339,72.0,92,1.19
139,2MASS J14482563+1031590Â [de],47.0,59,0.99
140,CFBDSIR 1458+10A,104.0,11.1,1.5
141,CFBDSIR 1458+10B,104.0,9,1.3
142,TVLM 513-46546,35.1,75,1.05
143,2MASS 1503+2525,20.7,44,0.94
144,CFBDS J150411+102717,71.0,44,0.94
145,2MASSW J1506544+132106Â [de],46.0,69,1.02
146,2MASS 1507âˆ’1627,23.9,60,0.99
147,TVLM 868-110639,53.0,79,1.08
149,2MASSW J1515008+484742Â [de],34.0,57,0.99
150,2MASSI J1526140+204341Â [de],67.0,54,0.98
151,DENIS-P J153941.96-052042.4Â [de],51.0,63,1.0
152,2MASS J15462718-3325111Â [de],37.0,44,0.94
153,2MASSW J1552591+294849Â [de],68.0,30,1.43
154,2MASSW J1555157-095605Â [de],44.0,71,1.03
155,2MASS J16150413+1340079Â [de],48.0,42,0.94
156,SDSSp J162414.37+002915.6Â [de],36.0,43,0.94
157,2MASS J16262034+3925190Â [de],110.0,71,1.03
158,2MASSW J1632291+190441Â [de],50.0,49,0.97
159,WISEPA J164715.59+563208.2,28.0,41,0.94
160,LSPM J1658+7027Â [de],60.0,73,1.04
161,2MASSI J1726000+153819,114.0,24,1.4
163,SDSSp J175032.96+175903.9,90.0,47,0.97
164,2MASS J18283572-4849046,39.0,45,0.95
165,LSR J1835+3259,18.5,77,1.07
166,2MASSW J1841086+311727,138.0,67,1.01
167,2MASS J18432213+4040209,46.0,96,1.22
168,2MASS J20004841-7523070,105.0,25,1.88
169,SDSS J204749.61-071818.3,65.0,46,0.96
170,2MASSI J2057540-025230,47.0,70,1.02
172,2MASSI J2104149-103736,62.0,69,1.02
173,PSO J318.5âˆ’22,80.0,6.5,1.53
174,HB 2124-4228,113.0,94,1.21
175,2MASS J21392676+0220226,32.1,46,0.96
176,2MASS J21481628+4003593,26.3,55,0.99
178,2MASSW J2206450-421721,93.0,22,1.33
179,2MASSW J2208136+292121,154.0,27,1.41
180,2MASSW J2224438-015852,38.0,61,0.99
181,2MASS J22282889-4310262,35.0,42,0.94
182,2MASS J22373255+3922398,64.0,73,1.04
183,2MASSW J2244316+204343,56.0,12,1.29
184,2MASS J23224684-3133231,56.0,24,1.39
185,2MASS J23225299-6151275,148.0,17,1.59
186,2MASS J23515044-2537367,67.0,88,1.16
187,2MASSI J2356547-155310,74.0,80,1.09
225,WISE 0410+1502,20.0,6,1.17
229,WISE 0458+6434A,35.9,15,4.2
230,WISE 0458+6434B,35.9,10,3.8
284,WISE 1405+5534,25.3,30,0.86
352,SDSS J000013.54+255418.6Â [de],46.1,0.045820224,0.1017353699999999
353,2MASS J00040288-6410358,192.0,0.018137172,0.1675036899999999
354,2MASS J00242463-0158201,37.7,0.075412452,0.11201167
355,2MASS J00274197+0503417,236.0,0.029592228,0.1479787199999999
356,2MASSW J0030300-145033,87.2,0.051547752,0.1007077399999999
357,2MASS J00332386-1521309Â [de],131.0,0.027683052,0.1469510899999999
358,2MASS J00345157+0523050,31.0,0.040092696000000004,0.0965972199999999
359,2MASS 0036+1821,28.6,0.040092696000000004,0.0965972199999999
360,2MASSW J0045214+163445,57.0,0.021955524,0.16647606
361,WISEP J004701.06+680352.1Â [fr],40.0,0.011455056,0.1335918999999999
362,2MASS J00501994-3322402Â [de],34.0,0.03818352,0.0965972199999999
363,2MASS J00584253-0651239Â [de],96.0,0.027683052,0.1469510899999999
364,2MASSI J0103320+193536,70.0,0.049638576000000004,0.1007077399999999
365,SDSSp J010752.33+004156.1Â [de],51.0,0.049638576000000004,0.1007077399999999
366,2MASSI J0117474-340325Â [de],163.0,0.01909176,0.16647606
367,2MASS J01415823-4633574Â [de],130.0,0.01909176,0.16544843
368,SDSS J015141.69+124429.6,70.0,0.044865636,0.0996801099999999
369,SDSS J020742.48+000056.2Â [de],111.0,0.044865636,0.0996801099999999
370,2MASS J02103857-3015313,101.0,0.014318820000000001,0.15722739
371,2MASS J02340093-6442068,155.0,0.01909176,0.16647606
372,2MASS J02411151-0326587Â [de],152.0,0.025773876,0.1448958299999999
373,2MASS J02431371âˆ’2453298,35.0,0.031501404000000004,0.1017353699999999
374,LP 771-21,53.0,0.074457864,0.11098404
375,Teegarden's star,12.578,0.07636704,0.1305090099999999
376,2MASS J02535980+3206373,184.0,0.06204822,0.1952496999999999
377,WISE J0254+0223,24.0,0.06204822,0.1952496999999999
378,DEN 0255-4700,16.2,0.07636704,0.0996801099999999
379,2MASS J03185403-3421292Â [de],45.0,0.046774812,0.0996801099999999
380,2MASS J03205965+1854233,47.0,0.084003744,0.1181774499999999
381,2MASS J03231002-4631237,192.0,0.021955524,0.17058658
382,SDSS J032553.17+042540.1,59.0,0.04295646,0.0976248499999999
383,2MASS J03264225-2102057Â [de],80.0,0.017182584,0.1335918999999999
384,2MASS J03284265+2302051Â [de],98.0,0.051547752,0.1007077399999999
385,2MASS J03341218-4953322,27.0,0.069684924,0.10687352
386,LP 944-20,20.9,0.069684924,0.1469510899999999
387,2MASP J0345432+254023,88.0,0.070639512,0.10790115
388,Teide 1,380.0,0.05250234,0.3884441399999999
389,2MASS J03510004-0052452,48.0,0.09736797600000001,0.1305090099999999
390,2MASS J03552337+1133437,29.8,0.01909176,0.13564716
391,2MASS J04151954âˆ’0935066,18.6,0.028637640000000002,0.0976248499999999
392,2MASS J04285096-2253227Â [de],85.0,0.07636704,0.11201167
393,2MASS J04351612-1606574,34.0,0.0954588,0.1294813799999999
394,2MASS J04362788-4114465,142.0,0.037228932,0.2024431099999999
395,2MASS J04390101-2353083Â [de],29.5,0.045820224,0.0996801099999999
396,2MASS J04433764+0002040,82.0,0.021000936,0.1829181399999999
397,2MASS J04455387-3048204Â [de],42.0,0.061093632,0.102763
398,2MASS J04510093-3402150Â [de],69.0,0.00099277152,7.398935999999999
399,2MASS J05002100+0330501Â [de],44.0,0.061093632,0.102763
400,2MASS J05012406-0010452Â [de],64.0,0.020046348000000002,0.1418129399999999
401,2MASS J05160945-0445499Â [de],73.0,0.044865636,0.0996801099999999
402,2MASS J0523âˆ’1403,40.0,0.064911984,0.10379063
403,SDSS J053951.99-005902.0,41.62,0.058229868000000004,0.10379063
404,LSR 0602+3910Â [de],34.6,0.026728464,0.1448958299999999
405,2MASS J06085283-2753583,102.0,0.036274344,0.15517213
406,2MASS J06244595-4521548Â [de],39.0,0.053456928,0.1017353699999999
407,2MASS J06411840-4322329Â [de],65.0,0.063957396,0.10379063
408,DENIS-P J0652197-253450Â [de],51.0,0.07159410000000001,0.10790115
409,2MASS J07075327-4900503,60.0,0.068730336,0.10584589
410,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.1007077399999999
411,2MASSI J0727182+171001Â [de],29.6,0.039138108,0.0965972199999999
412,2MASS J07290002-3954043Â [de],25.8,0.035319756,0.0965972199999999
413,SDSS J074201.41+205520.5Â [de],49.0,0.041047284,0.0965972199999999
414,DENIS-P J0751164-253043Â [de],55.0,0.067775748,0.10584589
415,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999
416,DENIS J081730.0-615520,16.1,0.042001872,0.0965972199999999
417,2MASS J08251968+2115521Â [de],35.0,0.049638576000000004,0.1007077399999999
418,SDSSp J083008.12+482847.4Â [de],43.0,0.045820224,0.1017353699999999
419,LHS 2021,55.0,0.084003744,0.1181774499999999
420,SDSS J083048.80+012831.1Â [de],77.0,0.043911048,0.0986524799999999
421,2MASSI J0835425-081923Â [de],23.53,0.059184456,0.102763
422,2MASSI J0847287-153237Â [de],43.0,0.061093632,0.102763
423,2MASS J08533619-0329321,27.6,0.073503276,0.10995641
424,2MASSI J0859254-194926Â [de],50.0,0.0477294,0.1007077399999999
425,2MASSI J0937347+293142,20.0,0.040092696000000004,0.0965972199999999
426,2MASS 0939âˆ’2448,17.4,0.030546816,0.0976248499999999
427,2MASS J09490860-1545485Â [de],59.0,0.046774812,0.0986524799999999
428,2MASS J10073369-4555147,46.0,0.042001872,0.0965972199999999
429,2MASSI J1010148-040649Â [de],55.0,0.048683988000000004,0.1007077399999999
430,2MASS J10224821+5825453Â [de],60.0,0.025773876,0.1448958299999999
431,2MASSW J1036530-344138Â [de],53.0,0.046774812,0.0996801099999999
432,2MASS J1047538+212423Â [de],34.4,0.040092696000000004,0.0965972199999999
433,DEN 1048-3956,13.15,0.073503276,0.10995641
434,Luhman 16B,6.516,0.041047284,0.10481826
435,Luhman 16A,6.516,0.03818352,0.10379063
436,DENIS-P J1058.7âˆ’1548,49.0,0.061093632,0.102763
437,TWA 28,180.0,0.034365168,0.24560357
438,Cha 110913-773444,163.0,0.007636704,0.1849733999999999
439,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612
440,2MASS J11145133âˆ’2618235,18.2,0.031501404000000004,0.0986524799999999
441,TWA 26,137.0,0.028637640000000002,0.2260786
442,2MASS J11544223-3400390Â [de],129.0,0.035319756,0.1541445
443,2MASSW J1155395-372735Â [de],31.0,0.061093632,0.102763
444,2MASS J12074836-3900043,217.0,0.016227996,0.17572473
445,2MASSI J1217110-031113Â [de],36.0,0.040092696000000004,0.0965972199999999
446,2M 1237+6526,45.6,0.039138108,0.0965972199999999
447,TWA 29,262.0,0.001909176,2.569075
448,SDSSp J125453.90-012247.4Â [de],38.0,0.044865636,0.1007077399999999
449,Kelu-1A,61.0,0.060139044,0.1007077399999999
450,Kelu-1B,61.0,0.055366104,0.1007077399999999
451,2MASS J13204427+0409045,101.0,0.063957396,0.10379063
452,SDSSp J132629.82-003831.5Â [de],65.0,0.048683988000000004,0.0996801099999999
453,SDSSp J134646.45-003150.4Â [de],48.0,0.042001872,0.0965972199999999
454,2MASS J13595510-4034582,51.0,0.060139044,0.102763
455,ULAS J141623.94+134836.3,29.7,0.030546816,0.0986524799999999
456,SDSS J141659.78+500626.4Â [de],149.0,0.056320692,0.1017353699999999
457,DENIS-P J142527.97-365023.4Â [de],38.0,0.020046348000000002,0.13564716
458,LHS 2924,38.5,0.072548688,0.10892878
459,2MASS J14392837+1929150,47.0,0.068730336,0.10584589
460,LSPM J1440+1339,72.0,0.087822096,0.1222879699999999
461,2MASS J14482563+1031590Â [de],47.0,0.056320692,0.1017353699999999
462,CFBDSIR 1458+10A,104.0,0.0105959268,0.1541445
463,CFBDSIR 1458+10B,104.0,0.008591292,0.1335918999999999
464,TVLM 513-46546,35.1,0.07159410000000001,0.10790115
465,2MASS 1503+2525,20.7,0.042001872,0.0965972199999999
466,CFBDS J150411+102717,71.0,0.042001872,0.0965972199999999
467,2MASSW J1506544+132106Â [de],46.0,0.065866572,0.10481826
468,2MASS 1507âˆ’1627,23.9,0.057275280000000005,0.1017353699999999
469,TVLM 868-110639,53.0,0.075412452,0.11098404
470,2MASSW J1515008+484742Â [de],34.0,0.054411516,0.1017353699999999
471,2MASSI J1526140+204341Â [de],67.0,0.051547752,0.1007077399999999
472,DENIS-P J153941.96-052042.4Â [de],51.0,0.060139044,0.102763
473,2MASS J15462718-3325111Â [de],37.0,0.042001872,0.0965972199999999
474,2MASSW J1552591+294849Â [de],68.0,0.028637640000000002,0.1469510899999999
475,2MASSW J1555157-095605Â [de],44.0,0.067775748,0.10584589
476,2MASS J16150413+1340079Â [de],48.0,0.040092696000000004,0.0965972199999999
477,SDSSp J162414.37+002915.6Â [de],36.0,0.041047284,0.0965972199999999
478,2MASS J16262034+3925190Â [de],110.0,0.067775748,0.10584589
479,2MASSW J1632291+190441Â [de],50.0,0.046774812,0.0996801099999999
480,WISEPA J164715.59+563208.2,28.0,0.039138108,0.0965972199999999
481,LSPM J1658+7027Â [de],60.0,0.069684924,0.10687352
482,2MASSI J1726000+153819,114.0,0.022910112,0.1438681999999999
483,SDSSp J175032.96+175903.9,90.0,0.044865636,0.0996801099999999
484,2MASS J18283572-4849046,39.0,0.04295646,0.0976248499999999
485,LSR J1835+3259,18.5,0.073503276,0.10995641
486,2MASSW J1841086+311727,138.0,0.063957396,0.10379063
487,2MASS J18432213+4040209,46.0,0.091640448,0.12537086
488,2MASS J20004841-7523070,105.0,0.0238647,0.1931944399999999
489,SDSS J204749.61-071818.3,65.0,0.043911048,0.0986524799999999
490,2MASSI J2057540-025230,47.0,0.06682116,0.10481826
491,2MASSI J2104149-103736,62.0,0.065866572,0.10481826
492,PSO J318.5âˆ’22,80.0,0.0062048220000000005,0.15722739
493,HB 2124-4228,113.0,0.089731272,0.1243432299999999
494,2MASS J21392676+0220226,32.1,0.043911048,0.0986524799999999
495,2MASS J21481628+4003593,26.3,0.05250234,0.1017353699999999
496,2MASSW J2206450-421721,93.0,0.021000936,0.13667479
497,2MASSW J2208136+292121,154.0,0.025773876,0.1448958299999999
498,2MASSW J2224438-015852,38.0,0.058229868000000004,0.1017353699999999
499,2MASS J22282889-4310262,35.0,0.040092696000000004,0.0965972199999999
500,2MASS J22373255+3922398,64.0,0.069684924,0.10687352
501,2MASSW J2244316+204343,56.0,0.011455056,0.1325642699999999
502,2MASS J23224684-3133231,56.0,0.022910112,0.1428405699999999
503,2MASS J23225299-6151275,148.0,0.016227996,0.16339317
504,2MASS J23515044-2537367,67.0,0.084003744,0.1192050799999999
505,2MASSI J2356547-155310,74.0,0.07636704,0.11201167
506,WISE 0410+1502,20.0,0.005727528,0.1202327099999999
507,WISE 0458+6434A,35.9,0.014318820000000001,0.4316046
508,WISE 0458+6434B,35.9,0.00954588,0.3904993999999999
509,WISE 1405+5534,25.3,0.028637640000000002,0.08837618
